case_id,date_reception,commune,activite,type_autorisation,canal_depot,pieces_fournies,pieces_obligatoires_attendues,pieces_manquantes,service_competent,delai_instruction_indicatif,risque_principal,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
AUT-2026-0062,2026-05-09,Tetouan,commerce de detail alimentaire,autorisation enseigne,Depot papier scanne,certificat de conformite; plan cadastral; photos du local,statuts societe; certificat de conformite; demande manuscrite; certificat propriete ou bail; plan cadastral; plan amenagement; photos du local,statuts societe; demande manuscrite; certificat propriete ou bail; plan amenagement,guichet commune,30 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0062 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->statuts societe;certificat de conformite;demande manuscrite;certificat propriete ou bail;plan cadastral;plan amenagement;photos du local; Dossier->a_fourni->certificat de conformite;plan cadastral;photos du local; Dossier->manque->statuts societe;demande manuscrite;certificat propriete ou bail;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0063,2026-05-11,Tanger,prestataire informatique,autorisation occupation temporaire,Depot papier scanne,demande manuscrite; statuts societe; registre de commerce; plan cadastral; photos du local,plan cadastral; demande d'autorisation; CIN representant; registre de commerce; photos du local; certificat propriete ou bail; plan amenagement; certificat de conformite,demande d'autorisation; CIN representant; certificat propriete ou bail; plan amenagement; certificat de conformite,division affaires economiques,30 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0063 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->plan cadastral;demande d'autorisation;CIN representant;registre de commerce;photos du local;certificat propriete ou bail;plan amenagement;certificat de conformite; Dossier->a_fourni->demande manuscrite;statuts societe;registre de commerce;plan cadastral;photos du local; Dossier->manque->demande d'autorisation;CIN representant;certificat propriete ou bail;plan amenagement;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0064,2026-05-13,Meknes,atelier de fabrication textile,autorisation ouverture etablissement,Rokhas,photos du local; certificat de conformite; statuts societe; plan amenagement; registre de commerce; CIN representant,photos du local; certificat propriete ou bail; CIN representant; registre de commerce; demande manuscrite; plan cadastral,certificat propriete ou bail; demande manuscrite; plan cadastral,plateforme Rokhas,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0064 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->photos du local;certificat propriete ou bail;CIN representant;registre de commerce;demande manuscrite;plan cadastral; Dossier->a_fourni->photos du local;certificat de conformite;statuts societe;plan amenagement;registre de commerce;CIN representant; Dossier->manque->certificat propriete ou bail;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0065,2026-05-15,Fes,hebergement touristique,autorisation activite alimentaire,Guichet commune,registre de commerce; CIN representant; photos du local; demande manuscrite,plan cadastral; demande manuscrite; statuts societe; CIN representant; demande d'autorisation,plan cadastral; statuts societe; demande d'autorisation,service autorisations economiques,a confirmer par service competent,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0065 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan cadastral;demande manuscrite;statuts societe;CIN representant;demande d'autorisation; Dossier->a_fourni->registre de commerce;CIN representant;photos du local;demande manuscrite; Dossier->manque->plan cadastral;statuts societe;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0066,2026-05-17,Fes,bureau d'etudes,autorisation enseigne,Depot papier scanne,certificat de conformite; registre de commerce; plan amenagement; plan cadastral,photos du local; demande d'autorisation; demande manuscrite; CIN representant; registre de commerce; certificat propriete ou bail,photos du local; demande d'autorisation; demande manuscrite; CIN representant; certificat propriete ou bail,plateforme Rokhas,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0066 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;demande d'autorisation;demande manuscrite;CIN representant;registre de commerce;certificat propriete ou bail; Dossier->a_fourni->certificat de conformite;registre de commerce;plan amenagement;plan cadastral; Dossier->manque->photos du local;demande d'autorisation;demande manuscrite;CIN representant;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0067,2026-05-19,Tanger,agence de voyage,autorisation occupation temporaire,Rokhas,demande d'autorisation; certificat de conformite; CIN representant; certificat propriete ou bail,demande d'autorisation; certificat de conformite; CIN representant; photos du local; registre de commerce; demande manuscrite; plan cadastral; plan amenagement,photos du local; registre de commerce; demande manuscrite; plan cadastral; plan amenagement,plateforme Rokhas,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0067 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->demande d'autorisation;certificat de conformite;CIN representant;photos du local;registre de commerce;demande manuscrite;plan cadastral;plan amenagement; Dossier->a_fourni->demande d'autorisation;certificat de conformite;CIN representant;certificat propriete ou bail; Dossier->manque->photos du local;registre de commerce;demande manuscrite;plan cadastral;plan amenagement; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0068,2026-05-21,Agadir,imprimerie,autorisation simple declaration,Guichet commune,certificat de conformite; demande manuscrite; photos du local; CIN representant; plan amenagement; certificat propriete ou bail; registre de commerce,demande d'autorisation; statuts societe; demande manuscrite; CIN representant; photos du local,demande d'autorisation; statuts societe,plateforme Rokhas,7 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0068 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->demande d'autorisation;statuts societe;demande manuscrite;CIN representant;photos du local; Dossier->a_fourni->certificat de conformite;demande manuscrite;photos du local;CIN representant;plan amenagement;certificat propriete ou bail;registre de commerce; Dossier->manque->demande d'autorisation;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0069,2026-05-23,Laayoune,atelier de fabrication textile,autorisation simple declaration,Rokhas,photos du local; demande d'autorisation; plan cadastral,registre de commerce; CIN representant; demande d'autorisation; statuts societe; plan cadastral; certificat propriete ou bail,registre de commerce; CIN representant; statuts societe; certificat propriete ou bail,service autorisations economiques,7 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0069 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->registre de commerce;CIN representant;demande d'autorisation;statuts societe;plan cadastral;certificat propriete ou bail; Dossier->a_fourni->photos du local;demande d'autorisation;plan cadastral; Dossier->manque->registre de commerce;CIN representant;statuts societe;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0070,2026-05-25,Tanger,bureau d'etudes,autorisation exploitation commerciale,Rokhas,plan amenagement; registre de commerce; CIN representant; photos du local; plan cadastral,plan cadastral; plan amenagement; certificat de conformite; demande d'autorisation; statuts societe,certificat de conformite; demande d'autorisation; statuts societe,CRI / orientation investissement,30 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0070 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->plan cadastral;plan amenagement;certificat de conformite;demande d'autorisation;statuts societe; Dossier->a_fourni->plan amenagement;registre de commerce;CIN representant;photos du local;plan cadastral; Dossier->manque->certificat de conformite;demande d'autorisation;statuts societe; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0071,2026-05-27,Tetouan,bureau d'etudes,autorisation activite alimentaire,CRI,CIN representant; certificat de conformite; statuts societe; plan cadastral; plan amenagement; certificat propriete ou bail,plan cadastral; certificat propriete ou bail; demande manuscrite; registre de commerce; demande d'autorisation; photos du local,demande manuscrite; registre de commerce; demande d'autorisation; photos du local,division affaires economiques,7 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0071 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan cadastral;certificat propriete ou bail;demande manuscrite;registre de commerce;demande d'autorisation;photos du local; Dossier->a_fourni->CIN representant;certificat de conformite;statuts societe;plan cadastral;plan amenagement;certificat propriete ou bail; Dossier->manque->demande manuscrite;registre de commerce;demande d'autorisation;photos du local; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0072,2026-05-29,Settat,salon de coiffure,autorisation activite alimentaire,Depot papier scanne,plan amenagement; registre de commerce; certificat propriete ou bail; plan cadastral; statuts societe; demande d'autorisation; photos du local,CIN representant; plan amenagement; photos du local; certificat propriete ou bail; demande d'autorisation; demande manuscrite; statuts societe; certificat de conformite,CIN representant; demande manuscrite; certificat de conformite,guichet commune,30 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0072 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->CIN representant;plan amenagement;photos du local;certificat propriete ou bail;demande d'autorisation;demande manuscrite;statuts societe;certificat de conformite; Dossier->a_fourni->plan amenagement;registre de commerce;certificat propriete ou bail;plan cadastral;statuts societe;demande d'autorisation;photos du local; Dossier->manque->CIN representant;demande manuscrite;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0073,2026-05-31,Fes,atelier mecanique,autorisation occupation temporaire,CRI,photos du local; plan cadastral; certificat propriete ou bail; demande d'autorisation; demande manuscrite,certificat propriete ou bail; registre de commerce; demande d'autorisation; plan cadastral; demande manuscrite,registre de commerce,guichet commune,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0073 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->certificat propriete ou bail;registre de commerce;demande d'autorisation;plan cadastral;demande manuscrite; Dossier->a_fourni->photos du local;plan cadastral;certificat propriete ou bail;demande d'autorisation;demande manuscrite; Dossier->manque->registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0074,2026-06-02,Fes,atelier de fabrication textile,autorisation activite alimentaire,Guichet commune,statuts societe; plan cadastral; plan amenagement; demande manuscrite; CIN representant; certificat propriete ou bail,certificat propriete ou bail; photos du local; demande manuscrite; certificat de conformite; demande d'autorisation; CIN representant; statuts societe,photos du local; certificat de conformite; demande d'autorisation,service autorisations economiques,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0074 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat propriete ou bail;photos du local;demande manuscrite;certificat de conformite;demande d'autorisation;CIN representant;statuts societe; Dossier->a_fourni->statuts societe;plan cadastral;plan amenagement;demande manuscrite;CIN representant;certificat propriete ou bail; Dossier->manque->photos du local;certificat de conformite;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0075,2026-06-04,Casablanca,restaurant et restauration rapide,autorisation activite alimentaire,CRI,plan amenagement; certificat de conformite; certificat propriete ou bail; CIN representant,certificat de conformite; plan amenagement; registre de commerce; statuts societe; CIN representant; demande manuscrite; demande d'autorisation; plan cadastral,registre de commerce; statuts societe; demande manuscrite; demande d'autorisation; plan cadastral,guichet commune,7 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0075 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat de conformite;plan amenagement;registre de commerce;statuts societe;CIN representant;demande manuscrite;demande d'autorisation;plan cadastral; Dossier->a_fourni->plan amenagement;certificat de conformite;certificat propriete ou bail;CIN representant; Dossier->manque->registre de commerce;statuts societe;demande manuscrite;demande d'autorisation;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0076,2026-06-06,Casablanca,atelier mecanique,autorisation ouverture etablissement,Depot papier scanne,photos du local; plan cadastral; registre de commerce; demande manuscrite; statuts societe; certificat de conformite,photos du local; demande manuscrite; certificat propriete ou bail; CIN representant; certificat de conformite; plan amenagement,certificat propriete ou bail; CIN representant; plan amenagement,plateforme Rokhas,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0076 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->photos du local;demande manuscrite;certificat propriete ou bail;CIN representant;certificat de conformite;plan amenagement; Dossier->a_fourni->photos du local;plan cadastral;registre de commerce;demande manuscrite;statuts societe;certificat de conformite; Dossier->manque->certificat propriete ou bail;CIN representant;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0077,2026-06-08,Rabat,e-commerce artisanal,autorisation exploitation commerciale,Depot papier scanne,plan cadastral; CIN representant; certificat propriete ou bail; demande manuscrite; certificat de conformite; statuts societe,photos du local; CIN representant; certificat de conformite; registre de commerce; demande d'autorisation; statuts societe; certificat propriete ou bail; plan cadastral,photos du local; registre de commerce; demande d'autorisation,guichet commune,7 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0077 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->photos du local;CIN representant;certificat de conformite;registre de commerce;demande d'autorisation;statuts societe;certificat propriete ou bail;plan cadastral; Dossier->a_fourni->plan cadastral;CIN representant;certificat propriete ou bail;demande manuscrite;certificat de conformite;statuts societe; Dossier->manque->photos du local;registre de commerce;demande d'autorisation; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0078,2026-06-10,Casablanca,salon de coiffure,autorisation occupation temporaire,Depot papier scanne,demande d'autorisation; certificat propriete ou bail; statuts societe; plan amenagement; plan cadastral; demande manuscrite; CIN representant,certificat propriete ou bail; plan cadastral; demande manuscrite; demande d'autorisation; statuts societe,aucune,guichet commune,a confirmer par service competent,risque hygiene/securite,orientation_autre_service,ROUGE,Verifier si le dossier AUT-2026-0078 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->certificat propriete ou bail;plan cadastral;demande manuscrite;demande d'autorisation;statuts societe; Dossier->a_fourni->demande d'autorisation;certificat propriete ou bail;statuts societe;plan amenagement;plan cadastral;demande manuscrite;CIN representant; Dossier->manque->aucune; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0079,2026-06-12,Fes,e-commerce artisanal,autorisation ouverture etablissement,Guichet commune,photos du local; statuts societe; certificat de conformite; plan amenagement; demande d'autorisation,plan amenagement; certificat propriete ou bail; demande manuscrite; plan cadastral; photos du local; certificat de conformite; demande d'autorisation,certificat propriete ou bail; demande manuscrite; plan cadastral,plateforme Rokhas,7 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0079 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan amenagement;certificat propriete ou bail;demande manuscrite;plan cadastral;photos du local;certificat de conformite;demande d'autorisation; Dossier->a_fourni->photos du local;statuts societe;certificat de conformite;plan amenagement;demande d'autorisation; Dossier->manque->certificat propriete ou bail;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0080,2026-06-14,Meknes,production agroalimentaire,autorisation enseigne,Guichet commune,certificat propriete ou bail; plan cadastral; demande d'autorisation; photos du local; demande manuscrite,CIN representant; certificat propriete ou bail; plan cadastral; demande manuscrite; certificat de conformite; plan amenagement,CIN representant; certificat de conformite; plan amenagement,plateforme Rokhas,7 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0080 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->CIN representant;certificat propriete ou bail;plan cadastral;demande manuscrite;certificat de conformite;plan amenagement; Dossier->a_fourni->certificat propriete ou bail;plan cadastral;demande d'autorisation;photos du local;demande manuscrite; Dossier->manque->CIN representant;certificat de conformite;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0081,2026-06-16,Oujda,salon de coiffure,autorisation activite alimentaire,CRI,registre de commerce; certificat de conformite; certificat propriete ou bail; CIN representant; photos du local; statuts societe; demande manuscrite,demande manuscrite; plan cadastral; plan amenagement; statuts societe; certificat propriete ou bail,plan cadastral; plan amenagement,plateforme Rokhas,30 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0081 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->demande manuscrite;plan cadastral;plan amenagement;statuts societe;certificat propriete ou bail; Dossier->a_fourni->registre de commerce;certificat de conformite;certificat propriete ou bail;CIN representant;photos du local;statuts societe;demande manuscrite; Dossier->manque->plan cadastral;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0082,2026-06-18,Settat,agence de voyage,autorisation enseigne,Guichet commune,photos du local; demande manuscrite; CIN representant; certificat propriete ou bail; plan cadastral; statuts societe; registre de commerce,registre de commerce; certificat de conformite; plan cadastral; statuts societe; photos du local; plan amenagement; demande manuscrite; CIN representant,certificat de conformite; plan amenagement,CRI / orientation investissement,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0082 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->registre de commerce;certificat de conformite;plan cadastral;statuts societe;photos du local;plan amenagement;demande manuscrite;CIN representant; Dossier->a_fourni->photos du local;demande manuscrite;CIN representant;certificat propriete ou bail;plan cadastral;statuts societe;registre de commerce; Dossier->manque->certificat de conformite;plan amenagement; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0083,2026-06-20,Casablanca,formation professionnelle privee,autorisation ouverture etablissement,Guichet commune,demande manuscrite; statuts societe; plan cadastral; plan amenagement; demande d'autorisation; certificat de conformite,photos du local; demande manuscrite; plan amenagement; statuts societe; plan cadastral,photos du local,service autorisations economiques,7 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0083 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->photos du local;demande manuscrite;plan amenagement;statuts societe;plan cadastral; Dossier->a_fourni->demande manuscrite;statuts societe;plan cadastral;plan amenagement;demande d'autorisation;certificat de conformite; Dossier->manque->photos du local; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0084,2026-06-22,Marrakech,logistique urbaine,autorisation simple declaration,Rokhas,demande d'autorisation; photos du local; plan amenagement; certificat de conformite; statuts societe; demande manuscrite; certificat propriete ou bail,registre de commerce; statuts societe; demande manuscrite; certificat propriete ou bail; demande d'autorisation; certificat de conformite; plan cadastral,registre de commerce; plan cadastral,plateforme Rokhas,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0084 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->registre de commerce;statuts societe;demande manuscrite;certificat propriete ou bail;demande d'autorisation;certificat de conformite;plan cadastral; Dossier->a_fourni->demande d'autorisation;photos du local;plan amenagement;certificat de conformite;statuts societe;demande manuscrite;certificat propriete ou bail; Dossier->manque->registre de commerce;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0085,2026-06-24,Tanger,production agroalimentaire,autorisation occupation temporaire,Guichet commune,photos du local; demande manuscrite; CIN representant; plan cadastral,demande manuscrite; demande d'autorisation; certificat de conformite; photos du local; registre de commerce; certificat propriete ou bail; CIN representant,demande d'autorisation; certificat de conformite; registre de commerce; certificat propriete ou bail,service autorisations economiques,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0085 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->demande manuscrite;demande d'autorisation;certificat de conformite;photos du local;registre de commerce;certificat propriete ou bail;CIN representant; Dossier->a_fourni->photos du local;demande manuscrite;CIN representant;plan cadastral; Dossier->manque->demande d'autorisation;certificat de conformite;registre de commerce;certificat propriete ou bail; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0086,2026-06-26,Tetouan,agence de voyage,autorisation simple declaration,Rokhas,registre de commerce; certificat de conformite; statuts societe; demande d'autorisation; demande manuscrite,plan cadastral; demande d'autorisation; certificat de conformite; registre de commerce; statuts societe,plan cadastral,division affaires economiques,30 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0086 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->plan cadastral;demande d'autorisation;certificat de conformite;registre de commerce;statuts societe; Dossier->a_fourni->registre de commerce;certificat de conformite;statuts societe;demande d'autorisation;demande manuscrite; Dossier->manque->plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0087,2026-06-28,Oujda,formation professionnelle privee,autorisation activite alimentaire,Rokhas,photos du local; certificat propriete ou bail; certificat de conformite; statuts societe; demande manuscrite; plan amenagement; demande d'autorisation,certificat de conformite; statuts societe; plan amenagement; plan cadastral; demande manuscrite,plan cadastral,guichet commune,15 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0087 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat de conformite;statuts societe;plan amenagement;plan cadastral;demande manuscrite; Dossier->a_fourni->photos du local;certificat propriete ou bail;certificat de conformite;statuts societe;demande manuscrite;plan amenagement;demande d'autorisation; Dossier->manque->plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0088,2026-06-30,Settat,hebergement touristique,autorisation simple declaration,Depot papier scanne,demande d'autorisation; certificat propriete ou bail; photos du local; CIN representant; demande manuscrite; statuts societe; plan amenagement,photos du local; certificat de conformite; statuts societe; certificat propriete ou bail; plan amenagement; demande manuscrite; CIN representant,certificat de conformite,service autorisations economiques,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0088 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->photos du local;certificat de conformite;statuts societe;certificat propriete ou bail;plan amenagement;demande manuscrite;CIN representant; Dossier->a_fourni->demande d'autorisation;certificat propriete ou bail;photos du local;CIN representant;demande manuscrite;statuts societe;plan amenagement; Dossier->manque->certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0089,2026-07-02,Rabat,atelier mecanique,autorisation enseigne,Rokhas,statuts societe; CIN representant; photos du local,demande d'autorisation; demande manuscrite; photos du local; statuts societe; plan cadastral; CIN representant; plan amenagement,demande d'autorisation; demande manuscrite; plan cadastral; plan amenagement,service autorisations economiques,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0089 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande d'autorisation;demande manuscrite;photos du local;statuts societe;plan cadastral;CIN representant;plan amenagement; Dossier->a_fourni->statuts societe;CIN representant;photos du local; Dossier->manque->demande d'autorisation;demande manuscrite;plan cadastral;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0090,2026-07-04,Casablanca,restaurant et restauration rapide,autorisation ouverture etablissement,Rokhas,registre de commerce; demande d'autorisation; plan amenagement,plan cadastral; certificat propriete ou bail; CIN representant; statuts societe; photos du local; plan amenagement,plan cadastral; certificat propriete ou bail; CIN representant; statuts societe; photos du local,service autorisations economiques,15 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0090 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan cadastral;certificat propriete ou bail;CIN representant;statuts societe;photos du local;plan amenagement; Dossier->a_fourni->registre de commerce;demande d'autorisation;plan amenagement; Dossier->manque->plan cadastral;certificat propriete ou bail;CIN representant;statuts societe;photos du local; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0091,2026-07-06,Settat,restaurant et restauration rapide,autorisation enseigne,Rokhas,plan cadastral; certificat de conformite; photos du local; demande d'autorisation; CIN representant; demande manuscrite,certificat de conformite; CIN representant; statuts societe; demande manuscrite; plan cadastral,statuts societe,service autorisations economiques,30 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0091 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->certificat de conformite;CIN representant;statuts societe;demande manuscrite;plan cadastral; Dossier->a_fourni->plan cadastral;certificat de conformite;photos du local;demande d'autorisation;CIN representant;demande manuscrite; Dossier->manque->statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0092,2026-07-08,Tetouan,formation professionnelle privee,autorisation activite alimentaire,CRI,plan cadastral; demande d'autorisation; plan amenagement; certificat propriete ou bail; statuts societe; certificat de conformite,statuts societe; certificat de conformite; certificat propriete ou bail; registre de commerce; CIN representant,registre de commerce; CIN representant,division affaires economiques,30 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0092 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->statuts societe;certificat de conformite;certificat propriete ou bail;registre de commerce;CIN representant; Dossier->a_fourni->plan cadastral;demande d'autorisation;plan amenagement;certificat propriete ou bail;statuts societe;certificat de conformite; Dossier->manque->registre de commerce;CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
